Ordrenr.;t;Afsluttet ord.;Projektnr.;Navn;Kundeinfo;Prio.;Niveau;Varenummer;Navn;Startperiode;Afsluttet vare;Plan. antal;Rap. ant.;R;Status;Op.;Prod.grp.;Op. beskrivelse;Start;Afsluttet;Plan. antal;Rap. ant.;R;Plan. tid;Rap.tid;Rapp.nr.;oprettet
242684;28-04-2016;28-04-2016;;;Grundfos  A/S;9;0;70047319;Ændring af 70047319 ved service;28-04-2016;28-04-2016;1;; ;1;30;SVH-Ø;Interne fejl og efterjustering U/B;28-04-2016;28-04-2016;1;0; ;0;0;534;
242684;28-04-2016;28-04-2016;;;Grundfos  A/S;9;0;70047319;Ændring af 70047319 ved service;28-04-2016;28-04-2016;1;; ;1;40;USVH-03;Job og opgaver uden for SVH;28-04-2016;28-04-2016;1;0; ;0;0;532;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;10;KF-01;Opstart, evt.konstruktion, møder mm;09-05-2016;09-05-2016;10;0; ;0;0;634;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;20;KF-02;Evt.opspændingdorne, save m.m;09-05-2016;09-05-2016;10;0; ;0;0;632;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;30;KF-03;Programering (alt programmering);09-05-2016;09-05-2016;10;0; ;0;0;630;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;40;KF-04;Opstilling og indkøring CNC maskine;09-05-2016;09-05-2016;10;0; ;0;0;628;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;50;KF-05;Produktion - bemandet;09-05-2016;09-05-2016;10;0; ;0;0;626;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;60;KF-06;Produktion - ubemandet CNC maskine;09-05-2016;09-05-2016;10;0; ;0;0;624;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;70;KF-07;Opmålinger, slutkontrol, evt måling;09-05-2016;09-05-2016;10;0; ;0;0;622;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;80;KF-08;Overarbejde (alt overtid);09-05-2016;09-05-2016;10;0; ;0;0;620;
242698;09-05-2016;09-05-2016;;;Kunststof-kemi A/S;9;0;242698;Komplet knivholder, belagte m.m;09-05-2016;09-05-2016;10;; ;1;90;KF-Ø;Interne fejl og efterjustering U/B;09-05-2016;09-05-2016;10;0; ;0;0;618;
242723;31-05-2016;31-05-2016;;;CMS Dental ApS;9;0;242723;Nyt design på håndtag;31-05-2016;31-05-2016;3;; ;1;10;VFA-01;Projekt opstart og konstruktion;31-05-2016;31-05-2016;3;0; ;0;0;554;
242723;31-05-2016;31-05-2016;;;CMS Dental ApS;9;0;242723;Nyt design på håndtag;31-05-2016;31-05-2016;3;; ;1;20;VFA-02;Konstruktion, fremstilling og støbe;31-05-2016;31-05-2016;3;0; ;0;0;552;
242723;31-05-2016;31-05-2016;;;CMS Dental ApS;9;0;242723;Nyt design på håndtag;31-05-2016;31-05-2016;3;; ;1;30;VFA-03;Ubemandet maskintid;31-05-2016;31-05-2016;3;0; ;0;0;550;
