medarb. initialer;jobnr;aktivitetsnavn;timer;dato (dd-mm-yyyy);kommentar
09-02-2012;208;7,3;LN dispo og rettelser;Timer;
10-02-2012;208;6;LN rettelser og overlevering;Timer;
10-02-2012;208;1,5;Medieovervågning og morgenmøde;Timer;
13-02-2012;208;6;Rettelser til 2. korrektur og interview m Kim Carstensen;Timer;
14-02-2012;208;2;Interveiw til jubilæumsnummer;Timer;
15-02-2012;208;8;LN til tryk og overleveringsdokument samt artikel til jubilæumsnummer;Timer;
13-02-2012;208;2;Afdelingsmøde og 40 års;Timer;
15-02-2012;208;4;foredrag om klima til medlemmer, og produktion af artikel til LN;Timer;
15-02-2012;208;0,5;timereg;Timer;
15-02-2012;208;1;;Timer;
15-02-2012;208;1;nyt skolekoncept;Timer;
15-02-2012;208;1;;Timer;
15-02-2012;208;5;;Timer;
14-02-2012;208;1;;Timer;
15-02-2012;208;2;;Timer;
14-02-2012;208;6,3;;Timer;
15-02-2012;208;4,3;;Timer;
15-02-2012;208;1;;Timer;
15-02-2012;208;1,5;;Timer;
15-02-2012;208;3;;Timer;
15-02-2012;208;1,25;;Timer;
15-02-2012;208;0,5;;Timer;
15-02-2012;208;1,25;;Timer;
15-02-2012;208;6;;Timer;
15-02-2012;208;2;;Timer;
16-02-2012;208;0,5;;Timer;
16-02-2012;208;0,5;;Timer;
16-02-2012;208;2;;Timer;
16-02-2012;208;2;;Timer;
15-02-2012;208;1;Møde med Ole;Timer;
13-02-2012;208;7,3;MZ01702;Timer;
14-02-2012;208;6;TZ0864;Timer;
15-02-2012;208;5;DA010;Timer;
16-02-2012;208;4,3;DA010;Timer;
16-02-2012;208;1,25;;Timer;
16-02-2012;208;0,25;;Timer;
16-02-2012;208;1;;Timer;
15-02-2012;208;2;;Timer;
17-02-2012;208;3;;Timer;
15-02-2012;208;4;;Timer;
17-02-2012;208;4,25;;Timer;
16-02-2012;208;6,25;;Timer;
15-02-2012;208;1,25;;Timer;
13-02-2012;208;4,5;;Timer;
16-02-2012;208;3;;Timer;
17-02-2012;208;3;;Timer;
03-02-2012;208;4;;Timer;
14-02-2012;208;3;;Timer;
15-02-2012;208;5;;Timer;
17-02-2012;208;3,75;;Timer;
13-02-2012;208;1,5;;Timer;
14-02-2012;208;1;;Timer;
17-02-2012;208;2;;Timer;
13-02-2012;208;1;;Timer;
13-02-2012;208;0,75;;Timer;
14-02-2012;208;1;;Timer;
17-02-2012;208;0,5;;Timer;
14-02-2012;208;3;;Timer;
15-02-2012;208;2,5;;Timer;
07-05-2012;208;1;;Timer;
16-02-2012;208;1;;Timer;
17-02-2012;208;1,5;;Timer;
15-02-2012;208;1;;Timer;
17-02-2012;208;2;;Timer;
16-02-2012;208;2;;Timer;
17-02-2012;208;1;;Timer;
17-02-2012;208;1;;Timer;
17-02-2012;208;4;;Timer;
17-02-2012;208;3;;Timer;
15-02-2012;208;3;;Timer;
15-02-2012;208;5;;Timer;
17-02-2012;208;1;;Timer;
13-02-2012;208;2;;Timer;
14-02-2012;208;3;;Timer;
13-02-2012;208;5;;Timer;
14-02-2012;208;4,5;;Timer;
17-02-2012;208;2;Personalehåndbog;Timer;
17-02-2012;208;4;;Timer;
06-02-2012;208;4;;Timer;
07-02-2012;208;3;;Timer;
09-02-2012;208;4;;Timer;
10-02-2012;208;2;;Timer;
06-02-2012;208;4;;Timer;
07-02-2012;208;4;;Timer;
08-02-2012;208;9;;Timer;
09-02-2012;208;4;;Timer;
10-02-2012;208;3;;Timer;
02-02-2012;208;1;;Timer;
03-02-2012;208;2;;Timer;
02-02-2012;208;4;;Timer;
03-02-2012;208;4;;Timer;
17-02-2012;208;3;;Timer;
17-02-2012;208;3;;Timer;
17-02-2012;208;1,3;;Timer;
16-02-2012;208;1;;Timer;
16-02-2012;208;3;;Timer;
16-02-2012;208;3;;Timer;
16-02-2012;208;2;;Timer;
17-02-2012;208;3;;Timer;
16-02-2012;208;1,3;;Timer;
17-02-2012;208;4,3;;Timer;
16-02-2012;208;1;;Timer;
22-02-2012;208;7,4;;Timer;
20-02-2012;208;4,3;;Timer;
20-02-2012;208;3;;Timer;
20-02-2012;208;3,25;;Timer;
20-02-2012;208;0,5;;Timer;
20-02-2012;208;0,5;;Timer;
20-02-2012;208;0,5;;Timer;
20-02-2012;208;3;;Timer;
20-02-2012;208;3;;Timer;
20-02-2012;208;1;;Timer;
20-02-2012;208;4,5;;Timer;
09-02-2012;208;2;;Timer;
10-02-2012;208;1;;Timer;
09-02-2012;208;1;;Timer;
10-02-2012;208;3;;Timer;
07-02-2012;208;8;Schweiz: WWF International;Timer;
08-02-2012;208;8;Schweiz: WWF International;Timer;
10-02-2012;208;2;;Timer;
09-02-2012;208;2;;Timer;
10-02-2012;208;1,3;;Timer;
09-02-2012;208;2;;Timer;
13-02-2012;208;1;;Timer;
13-02-2012;208;3;;Timer;
13-02-2012;208;2;;Timer;
13-02-2012;208;1,3;;Timer;
14-02-2012;208;0,5;;Timer;
14-02-2012;208;3,8;;Timer;
16-02-2012;208;0,3;;Timer;
14-02-2012;208;3;;Timer;
15-02-2012;208;2;;Timer;
15-02-2012;208;1,3;;Timer;
15-02-2012;208;4;;Timer;
16-02-2012;208;1;;Timer;
16-02-2012;208;2;;Timer;
16-02-2012;208;2;;Timer;
16-02-2012;208;2;;Timer;
17-02-2012;208;1;;Timer;
17-02-2012;208;2;;Timer;
17-02-2012;208;2;;Timer;
17-02-2012;208;2,3;;Timer;
20-02-2012;208;2,3;;Timer;
20-02-2012;208;2;;Timer;
20-02-2012;208;2;;Timer;
20-02-2012;208;1;;Timer;
20-02-2012;208;0,5;;Timer;
16-02-2012;208;1;;Timer;
17-02-2012;208;0,5;;Timer;
17-02-2012;208;6;;Timer;
18-02-2012;208;15;;Timer;
19-02-2012;208;4,5;;Timer;
20-02-2012;208;0,5;;Timer;
20-02-2012;208;0,5;;Timer;
20-02-2012;208;4;forberedelse klimaforedrag Valby;Timer;
20-02-2012;208;6;;Timer;
20-02-2012;208;4;;Timer;
20-02-2012;208;2;;Timer;
20-02-2012;208;6,5;;Timer;
20-02-2012;208;8,5;;Timer;
23-02-2012;208;7;Kom-seminar;Timer;
21-02-2012;208;6,3;;Timer;
21-02-2012;208;1;;Timer;
21-02-2012;208;0,5;;Timer;
21-02-2012;208;0,5;;Timer;
20-02-2012;208;1;;Timer;
20-02-2012;208;6;;Timer;
21-02-2012;208;5;;Timer;
21-02-2012;208;2,5;;Timer;
21-02-2012;208;0,5;;Timer;
21-02-2012;208;4;forberedelse og afholdelse af foredrag om klima, Valby;Timer;
21-02-2012;208;1;udsendelse af præmier ;Timer;
21-02-2012;208;2,5;;Timer;
21-02-2012;208;4;;Timer;
21-02-2012;208;0,25;;Timer;
21-02-2012;208;1,5;;Timer;
21-02-2012;208;1;;Timer;
21-02-2012;208;0,75;;Timer;
21-02-2012;208;0,5;;Timer;
21-02-2012;208;4;;Timer;
21-02-2012;208;4;;Timer;
21-02-2012;208;1;;Timer;
21-02-2012;208;1,3;;Timer;
21-02-2012;208;1;;Timer;
21-02-2012;208;3;;Timer;
02-02-2012;208;7,3;;Timer;
03-02-2012;208;7,3;;Timer;
04-02-2012;208;8;;Timer;
